Tratamentos,S,N,H
CONV,3,3,1.099
CONV,3,7,1.079
CONV,6,17,1.646
CONV,5,36,1.232
CONV,6,31,1.435
CONV,3,18,0.981
CONV,3,4,1.04
CONV,0,0,0
CONV,3,4,1.04
CONV,3,4,1.04
CONV,2,7,0.4101
T.OSB,4,5,1.332
T.OSB,5,40,1.193
T.OSB,5,38,1.084
T.OSB,6,31,1.356
T.OSB,4,13,1.231
T.OSB,5,26,1.231
T.OSB,2,4,0.5623
T.OSB,3,8,0.7356
T.OSB,4,10,1.168
T.OSB,2,5,0.673
T.OSB,3,5,1.055
T.OS,3,4,1.04
T.OS,4,22,0.9828
T.OS,4,31,1.039
T.OS,6,29,1.321
T.OS,6,30,1.677
T.OS,3,14,0.8305
T.OS,4,7,1.154
T.OS,2,4,0.5623
T.OS,4,7,1.352
T.OS,2,2,0.6931
T.OS,2,5,0.5004
T.SAT,4,7,1.154
T.SAT,4,16,1.034
T.SAT,6,29,1.24
T.SAT,4,32,0.5067
T.SAT,5,21,1.327
T.SAT,3,19,0.857
T.SAT,3,7,0.7963
T.SAT,2,2,0.6931
T.SAT,3,6,0.8676
T.SAT,1,4,0
T.SAT,3,7,0.7963
